,name,year_start,year_end,position,height,weight,height_in_meters
605,Rick Calloway,1991,1991,F,6-6,180.0,1.9812000000000003
606,Ernie Calverley,1947,1949,G,5-10,145.0,1.778
607,Mack Calvin,1970,1981,G,6-0,165.0,1.8288000000000002
608,Dexter Cambridge,1993,1993,F,6-7,224.0,2.0066
609,Marcus Camby,1997,2013,C,6-11,220.0,2.1082
610,Elden Campbell,1991,2005,C,6-11,215.0,2.1082
611,Tony Campbell,1985,1995,F,6-7,215.0,2.0066
612,Isaiah Canaan,2014,2018,G,6-0,201.0,1.8288000000000002
613,Larry Cannon,1970,1974,G,6-4,195.0,1.9304000000000001
614,Clint Capela,2015,2018,C,6-10,240.0,2.0828
615,Derrick Caracter,2011,2011,F,6-9,275.0,2.0574000000000003
616,Frank Card,1969,1973,F,6-7,195.0,2.0066
617,Brian Cardinal,2001,2012,F,6-8,245.0,2.032
618,Howie Carl,1962,1962,G,5-9,160.0,1.7526
619,Chet Carlisle,1947,1947,F,6-5,195.0,1.9558000000000002
620,Geno Carlisle,2005,2005,G,6-3,180.0,1.9050000000000002
621,Rick Carlisle,1985,1990,G,6-5,210.0,1.9558000000000002
622,Don Carlos,1969,1969,G,6-5,210.0,1.9558000000000002
623,Al Carlson,1976,1976,C,6-11,235.0,2.1082
624,Don Carlson,1947,1951,G,6-0,170.0,1.8288000000000002
625,Bob Carney,1955,1955,G,6-3,170.0,1.9050000000000002
626,Rodney Carney,2007,2011,F,6-7,205.0,2.0066
627,Bob Carpenter,1950,1951,F,6-5,200.0,1.9558000000000002
628,Antoine Carr,1985,2000,F,6-9,225.0,2.0574000000000003
629,Austin Carr,1972,1981,G,6-4,200.0,1.9304000000000001
630,Chris Carr,1996,2001,G,6-5,207.0,1.9558000000000002
631,Cory Carr,1999,1999,G,6-3,210.0,1.9050000000000002
632,Kenny Carr,1978,1987,F,6-7,220.0,2.0066
633,M.L. Carr,1976,1985,F,6-6,205.0,1.9812000000000003
634,Darel Carrier,1968,1973,G,6-3,185.0,1.9050000000000002
635,Bob Carrington,1978,1980,G,6-6,195.0,1.9812000000000003
636,DeMarre Carroll,2010,2018,F,6-8,215.0,2.032
637,Joe Barry Carroll,1981,1991,C,7-0,225.0,2.1336
638,Matt Carroll,2004,2013,G,6-6,212.0,1.9812000000000003
639,Jimmy Carruth,1997,1997,C,6-10,265.0,2.0828
640,Anthony Carter,2000,2012,G,6-1,190.0,1.8542000000000003
641,Butch Carter,1981,1986,G,6-5,180.0,1.9558000000000002
642,Fred Carter,1970,1977,G,6-3,185.0,1.9050000000000002
643,George Carter,1968,1976,F,6-4,210.0,1.9304000000000001
644,Howard Carter,1984,1985,G,6-5,215.0,1.9558000000000002
645,Jake Carter,1950,1950,F,6-4,195.0,1.9304000000000001
646,Maurice Carter,2004,2004,G,6-5,210.0,1.9558000000000002
647,Reggie Carter,1981,1982,G,6-3,175.0,1.9050000000000002
648,Ron Carter,1979,1980,G,6-5,190.0,1.9558000000000002
649,Vince Carter,1999,2018,G,6-6,220.0,1.9812000000000003
650,Michael Carter-Williams,2014,2018,G,6-6,190.0,1.9812000000000003
651,Bill Cartwright,1980,1995,C,7-1,245.0,2.159
652,Jay Carty,1969,1969,F,6-8,220.0,2.032
653,Alex Caruso,2018,2018,G,6-5,186.0,1.9558000000000002
654,Cornelius Cash,1977,1977,F,6-8,215.0,2.032
655,Sam Cash,1973,1973,F,6-8,230.0,2.032
656,Sam Cassell,1994,2008,G,6-3,185.0,1.9050000000000002
657,Omri Casspi,2010,2018,F,6-9,225.0,2.0574000000000003
658,Harvey Catchings,1975,1985,C,6-9,218.0,2.0574000000000003
659,Terry Catledge,1986,1993,F,6-8,220.0,2.032
660,Sid Catlett,1972,1972,F,6-6,230.0,1.9812000000000003
661,Kelvin Cato,1998,2007,C,6-11,255.0,2.1082
662,Bobby Cattage,1982,1986,F,6-9,250.0,2.0574000000000003
663,Willie Cauley-Stein,2016,2018,F,7-0,240.0,2.1336
664,Duane Causwell,1991,2001,C,7-0,240.0,2.1336
665,Tyler Cavanaugh,2018,2018,F,6-9,239.0,2.0574000000000003
666,Ron Cavenall,1985,1989,C,7-1,230.0,2.159
667,Cedric Ceballos,1991,2001,F,6-6,190.0,1.9812000000000003
668,John Celestand,2000,2000,G,6-4,178.0,1.9304000000000001
669,Al Cervi,1950,1953,G,5-11,170.0,1.8034
670,Lionel Chalmers,2005,2005,G,6-0,180.0,1.8288000000000002
671,Mario Chalmers,2009,2018,G,6-2,190.0,1.8796000000000002
672,Bill Chamberlain,1973,1974,F,6-6,188.0,1.9812000000000003
673,Wilt Chamberlain,1960,1973,C,7-1,275.0,2.159
674,Jerry Chambers,1967,1974,F,6-5,185.0,1.9558000000000002
675,Tom Chambers,1982,1998,F,6-10,220.0,2.0828
676,Mike Champion,1989,1989,F,6-10,230.0,2.0828
677,Tyson Chandler,2002,2018,C,7-1,240.0,2.159
678,Wilson Chandler,2008,2018,F,6-8,225.0,2.032
679,Don Chaney,1969,1980,G,6-5,210.0,1.9558000000000002
680,John Chaney,1950,1950,F,6-3,185.0,1.9050000000000002
681,Rex Chapman,1989,2000,G,6-4,185.0,1.9304000000000001
682,Wayne Chapman,1969,1972,G,6-6,190.0,1.9812000000000003
683,Len Chappell,1963,1972,F,6-8,240.0,2.032
684,Ken Charles,1974,1978,G,6-3,180.0,1.9050000000000002
685,Lorenzo Charles,1986,1986,F,6-7,225.0,2.0066
686,Calbert Cheaney,1994,2006,G,6-7,209.0,2.0066
687,Maurice Cheeks,1979,1993,G,6-1,180.0,1.8542000000000003
688,Phil Chenier,1972,1981,G,6-3,180.0,1.9050000000000002
689,Will Cherry,2015,2015,G,6-0,185.0,1.8288000000000002
690,Derrick Chievous,1989,1991,F,6-7,195.0,2.0066
691,Pete Chilcutt,1992,2000,F,6-10,230.0,2.0828
692,Josh Childress,2005,2014,G,6-8,210.0,2.032
693,Randolph Childress,1996,1997,G,6-2,188.0,1.8796000000000002
694,Chris Childs,1995,2003,G,6-3,195.0,1.9050000000000002
695,Leroy Chollet,1950,1951,F,6-2,190.0,1.8796000000000002
696,Jim Chones,1973,1982,C,6-11,220.0,2.1082
697,Marquese Chriss,2017,2018,F,6-10,233.0,2.0828
698,Fred Christ,1955,1955,G,6-4,210.0,1.9304000000000001
699,Cal Christensen,1951,1955,F,6-5,210.0,1.9558000000000002
700,Bob Christian,1970,1974,C,6-10,255.0,2.0828
701,Doug Christie,1993,2007,G,6-6,200.0,1.9812000000000003
702,Dionte Christmas,2014,2014,G,6-5,205.0,1.9558000000000002
703,Rakeem Christmas,2016,2017,F,6-9,250.0,2.0574000000000003
704,Semaj Christon,2017,2017,G,6-3,190.0,1.9050000000000002
705,Patrick Christopher,2015,2015,G,6-5,209.0,1.9558000000000002
706,Stephen Chubin,1968,1970,G,6-2,200.0,1.8796000000000002
707,Robert Churchwell,1996,1996,G,6-6,195.0,1.9812000000000003
708,Archie Clark,1967,1976,G,6-2,175.0,1.8796000000000002
709,Carlos Clark,1984,1985,G,6-4,210.0,1.9304000000000001
710,Earl Clark,2010,2015,F,6-10,225.0,2.0828
711,Ian Clark,2014,2018,G,6-3,175.0,1.9050000000000002
712,Keon Clark,1999,2004,F,6-11,220.0,2.1082
713,Richard Clark,1968,1969,G,6-4,190.0,1.9304000000000001
714,Coty Clarke,2016,2016,F,6-7,232.0,2.0066
715,Jordan Clarkson,2015,2018,G,6-5,194.0,1.9558000000000002
716,Gian Clavell,2018,2018,G,6-4,185.0,1.9304000000000001
717,Victor Claver,2013,2015,F,6-9,224.0,2.0574000000000003
718,John Clawson,1969,1969,F,6-4,200.0,1.9304000000000001
719,Charles Claxton,1996,1996,C,7-0,265.0,2.1336
720,Speedy Claxton,2002,2009,G,5-11,166.0,1.8034
721,Jim Cleamons,1972,1980,G,6-3,185.0,1.9050000000000002
722,Mateen Cleaves,2001,2006,G,6-2,205.0,1.8796000000000002
723,Barry Clemens,1966,1976,F,6-6,210.0,1.9812000000000003
724,Antonius Cleveland,2018,2018,G,6-6,195.0,1.9812000000000003
725,Nat Clifton,1951,1958,C,6-6,220.0,1.9812000000000003
726,Bill Closs,1950,1952,F,6-5,195.0,1.9558000000000002
727,Keith Closs,1998,2000,C,7-3,212.0,2.2098
728,Paul Cloyd,1950,1950,G,6-2,180.0,1.8796000000000002
729,Bob Cluggish,1947,1947,C,6-10,235.0,2.0828
730,Ben Clyde,1975,1975,F,6-7,198.0,2.0066
731,Richard Coffey,1991,1991,F,6-6,212.0,1.9812000000000003
732,Fred Cofield,1986,1987,G,6-3,190.0,1.9050000000000002
733,John Coker,1996,2001,C,7-0,253.0,2.1336
734,Norris Cole,2012,2017,G,6-2,175.0,1.8796000000000002
735,Ben Coleman,1987,1994,F,6-9,235.0,2.0574000000000003
736,Derrick Coleman,1991,2005,F,6-10,230.0,2.0828
737,E.C. Coleman,1974,1979,F,6-8,225.0,2.032
738,Jack Coleman,1950,1958,F,6-7,195.0,2.0066
739,Norris Coleman,1988,1988,F,6-8,210.0,2.032
740,Bimbo Coles,1991,2004,G,6-1,180.0,1.8542000000000003
741,Jason Collier,2001,2005,C,7-0,260.0,2.1336
742,Art Collins,1981,1981,G,6-4,185.0,1.9304000000000001
743,Don Collins,1981,1987,F,6-6,190.0,1.9812000000000003
744,Doug Collins,1974,1981,G,6-6,180.0,1.9812000000000003
745,James Collins,1998,1998,G,6-4,196.0,1.9304000000000001
746,Jarron Collins,2002,2011,F,6-11,255.0,2.1082
747,Jason Collins,2002,2014,C,7-0,255.0,2.1336
748,Jimmy Collins,1971,1972,G,6-2,175.0,1.8796000000000002
749,John Collins,2018,2018,F,6-10,235.0,2.0828
750,Mardy Collins,2007,2010,G,6-6,220.0,1.9812000000000003
751,Sherron Collins,2011,2011,G,5-11,205.0,1.8034
752,Zach Collins,2018,2018,C,7-0,232.0,2.1336
753,Kyle Collinsworth,2018,2018,G,6-6,210.0,1.9812000000000003
754,Darren Collison,2010,2018,G,6-0,175.0,1.8288000000000002
755,Nick Collison,2005,2018,F,6-10,255.0,2.0828
756,Joe Colone,1949,1949,F,6-5,210.0,1.9558000000000002
757,Sean Colson,2001,2001,G,6-0,175.0,1.8288000000000002
758,Steve Colter,1985,1995,G,6-3,165.0,1.9050000000000002
759,Glen Combs,1969,1975,G,6-2,185.0,1.8796000000000002
760,Leroy Combs,1984,1984,F,6-8,210.0,2.032
761,John Comeaux,1968,1968,F,6-5,193.0,1.9558000000000002
762,Dallas Comegys,1988,1989,F,6-9,205.0,2.0574000000000003
763,Larry Comley,1964,1964,G,6-5,210.0,1.9558000000000002
764,Jeffrey Congdon,1968,1972,G,6-1,180.0,1.8542000000000003
765,Gene Conley,1953,1964,C,6-8,225.0,2.032
766,Larry Conley,1968,1968,G,6-3,175.0,1.9050000000000002
767,Mike Conley,2008,2018,G,6-1,175.0,1.8542000000000003
768,Ed Conlin,1956,1962,F,6-5,200.0,1.9558000000000002
769,Marty Conlon,1992,2000,F,6-10,224.0,2.0828
770,Pat Connaughton,2016,2018,G,6-5,206.0,1.9558000000000002
771,Jimmy Conner,1976,1976,G,6-4,190.0,1.9304000000000001
772,Lester Conner,1983,1995,G,6-4,180.0,1.9304000000000001
773,Chuck Connors,1947,1948,F,6-5,190.0,1.9558000000000002
774,Will Conroy,2007,2013,G,6-2,195.0,1.8796000000000002
775,Anthony Cook,1991,1996,F,6-9,205.0,2.0574000000000003
776,Bert Cook,1955,1955,G,6-3,185.0,1.9050000000000002
777,Bobby Cook,1950,1950,G,5-10,155.0,1.778
778,Brian Cook,2004,2012,F,6-9,234.0,2.0574000000000003
779,Daequan Cook,2008,2013,G,6-5,205.0,1.9558000000000002
780,Darwin Cook,1981,1989,G,6-3,184.0,1.9050000000000002
781,Jeff Cook,1980,1988,F,6-10,215.0,2.0828
782,Norm Cook,1977,1978,F,6-8,210.0,2.032
783,Omar Cook,2004,2005,G,6-1,190.0,1.8542000000000003
784,Quinn Cook,2017,2018,G,6-2,184.0,1.8796000000000002
785,Charles Cooke,2018,2018,G,6-5,196.0,1.9558000000000002
786,David Cooke,1986,1986,F,6-8,230.0,2.032
787,Joe Cooke,1971,1971,G,6-3,175.0,1.9050000000000002
788,Jack Cooley,2015,2018,F,6-9,260.0,2.0574000000000003
789,Chuck Cooper,1951,1956,F,6-5,210.0,1.9558000000000002
790,Duane Cooper,1993,1994,G,6-1,185.0,1.8542000000000003
791,Joe Cooper,1982,1985,C,6-10,230.0,2.0828
792,Michael Cooper,1979,1990,G,6-5,170.0,1.9558000000000002
793,Wayne Cooper,1979,1992,C,6-10,220.0,2.0828
794,Tom Copa,1992,1992,C,6-10,275.0,2.0828
795,Chris Copeland,2013,2016,F,6-9,239.0,2.0574000000000003
796,Hollis Copeland,1980,1982,F,6-6,180.0,1.9812000000000003
797,Lanard Copeland,1990,1992,G,6-6,190.0,1.9812000000000003
798,Tyrone Corbin,1986,2001,G,6-6,210.0,1.9812000000000003
799,Chris Corchiani,1992,1994,G,6-0,185.0,1.8288000000000002
800,Ken Corley,1947,1947,C,6-5,210.0,1.9558000000000002
801,Ray Corley,1950,1953,G,6-0,180.0,1.8288000000000002
802,Dave Corzine,1979,1991,C,6-11,250.0,2.1082
803,Larry Costello,1955,1968,G,6-1,186.0,1.8542000000000003
804,Matt Costello,2018,2018,F,6-9,245.0,2.0574000000000003
805,Bryce Cotton,2015,2016,G,6-1,165.0,1.8542000000000003
806,Jack Cotton,1950,1950,F,6-7,200.0,2.0066
807,James Cotton,1998,1999,G,6-5,220.0,1.9558000000000002
808,John Coughran,1980,1980,F,6-7,225.0,2.0066
809,Mel Counts,1965,1976,C,7-0,230.0,2.1336
810,Steve Courtin,1965,1965,G,6-1,188.0,1.8542000000000003
811,Joe Courtney,1993,1997,F,6-8,235.0,2.032
812,Marcus Cousin,2011,2011,C,6-11,245.0,2.1082
813,DeMarcus Cousins,2011,2018,C,6-11,270.0,2.1082
814,Bob Cousy,1951,1970,G,6-1,175.0,1.8542000000000003
815,Robert Covington,2014,2018,F,6-9,215.0,2.0574000000000003
816,Dave Cowens,1971,1983,C,6-9,230.0,2.0574000000000003
817,Chubby Cox,1983,1983,G,6-2,180.0,1.8796000000000002
818,Johnny Cox,1963,1963,G,6-4,180.0,1.9304000000000001
819,Wesley Cox,1978,1979,F,6-6,215.0,1.9812000000000003
820,Allen Crabbe,2014,2018,G,6-6,210.0,1.9812000000000003
821,Torrey Craig,2018,2018,G,6-6,215.0,1.9812000000000003
822,Chris Crawford,1998,2004,F,6-9,235.0,2.0574000000000003
